epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,474.139,1.58776,1.58458,1.0193,0.33626,0.25326,0.19982,0.11062,1.5404,1.29861,0.98541,0.00033251,0.00033251,0.0670815
2,798.632,1.52368,1.26343,0.98593,0.38771,0.29054,0.25291,0.14152,1.49349,1.18605,0.97151,0.000659252,0.000659252,0.0340749
3,952.208,1.5044,1.22133,0.97817,0.36944,0.30493,0.25247,0.13916,1.52114,1.22806,0.97688,0.000979393,0.000979393,0.0010617
4,1104.87,1.48486,1.17046,0.97154,0.3994,0.32003,0.28176,0.16136,1.458,1.15209,0.95415,0.0009703,0.0009703,0.0009703
5,1258.09,1.45975,1.13006,0.96293,0.41899,0.34439,0.30751,0.1732,1.4429,1.11928,0.9505,0.0009604,0.0009604,0.0009604
6,1410.7,1.44171,1.0984,0.95467,0.43538,0.34928,0.31553,0.17982,1.42294,1.09104,0.94819,0.0009505,0.0009505,0.0009505
7,1565.13,1.42276,1.07399,0.94858,0.45086,0.35635,0.33033,0.19017,1.39093,1.06351,0.94175,0.0009406,0.0009406,0.0009406
8,1718.56,1.41475,1.05795,0.94678,0.45356,0.36751,0.34226,0.1971,1.39438,1.04353,0.93991,0.0009307,0.0009307,0.0009307
9,1873.71,1.40412,1.04147,0.94334,0.46304,0.36157,0.34247,0.19755,1.38408,1.03575,0.939,0.0009208,0.0009208,0.0009208
10,2028.15,1.39044,1.02151,0.94116,0.4623,0.37329,0.35361,0.20637,1.3641,1.0313,0.93612,0.0009109,0.0009109,0.0009109
11,2181.53,1.38916,1.01513,0.93925,0.44929,0.35807,0.3375,0.19411,1.38228,1.0307,0.93699,0.000901,0.000901,0.000901
12,2334.04,1.37954,1.00014,0.93598,0.49031,0.37963,0.37036,0.21534,1.35691,1.01299,0.93154,0.0008911,0.0008911,0.0008911
13,2487.89,1.369,0.98821,0.93314,0.47732,0.37747,0.36282,0.20968,1.36611,0.9976,0.93395,0.0008812,0.0008812,0.0008812
14,2641.24,1.36651,0.98016,0.93113,0.496,0.38136,0.36716,0.21365,1.35473,0.99321,0.92727,0.0008713,0.0008713,0.0008713
15,2795.96,1.35613,0.96947,0.92732,0.48622,0.39116,0.37667,0.21763,1.34962,0.98326,0.92761,0.0008614,0.0008614,0.0008614
16,2949.08,1.35417,0.96149,0.92739,0.50599,0.38602,0.3748,0.21809,1.35184,0.98738,0.92673,0.0008515,0.0008515,0.0008515
17,3101.62,1.34633,0.9546,0.92629,0.49847,0.39473,0.38511,0.22425,1.34655,0.97417,0.93088,0.0008416,0.0008416,0.0008416
18,3254.32,1.34739,0.94762,0.92426,0.51356,0.38498,0.37814,0.21897,1.34507,0.98415,0.92562,0.0008317,0.0008317,0.0008317
19,3409.5,1.33383,0.93753,0.92349,0.49761,0.38947,0.37817,0.21979,1.34446,0.9713,0.92627,0.0008218,0.0008218,0.0008218
20,3563.89,1.33061,0.92858,0.92312,0.51679,0.38907,0.37889,0.21993,1.33269,0.97438,0.92306,0.0008119,0.0008119,0.0008119
21,3715.29,1.33233,0.93018,0.9188,0.52442,0.39403,0.39047,0.22694,1.32475,0.96582,0.923,0.000802,0.000802,0.000802
22,3868.01,1.32869,0.92243,0.92094,0.5002,0.40572,0.39299,0.23094,1.3177,0.95194,0.92098,0.0007921,0.0007921,0.0007921
23,4020.32,1.3194,0.913,0.91614,0.50604,0.39536,0.38296,0.2253,1.32385,0.96193,0.91869,0.0007822,0.0007822,0.0007822
24,4171.29,1.3162,0.90976,0.91649,0.52342,0.39711,0.38966,0.23064,1.31898,0.95551,0.91943,0.0007723,0.0007723,0.0007723
25,4323.82,1.31039,0.89928,0.91539,0.54588,0.39859,0.4027,0.23728,1.31809,0.95098,0.92159,0.0007624,0.0007624,0.0007624
26,4476.88,1.30679,0.89332,0.91391,0.53012,0.39881,0.39474,0.23259,1.31777,0.94773,0.91848,0.0007525,0.0007525,0.0007525
27,4629.63,1.3084,0.89279,0.91364,0.52289,0.40702,0.40163,0.23384,1.30917,0.93874,0.91651,0.0007426,0.0007426,0.0007426
28,4781.73,1.30163,0.88685,0.91281,0.52022,0.40386,0.39718,0.23165,1.32701,0.94559,0.92177,0.0007327,0.0007327,0.0007327
29,4934.56,1.30303,0.88453,0.91089,0.51169,0.40765,0.39524,0.23176,1.31134,0.94099,0.91754,0.0007228,0.0007228,0.0007228
30,5090.69,1.29912,0.87939,0.90935,0.52025,0.41255,0.40428,0.23726,1.31393,0.93316,0.91714,0.0007129,0.0007129,0.0007129
31,5245.22,1.29251,0.87152,0.91014,0.53908,0.41364,0.41247,0.24351,1.3006,0.93035,0.91454,0.000703,0.000703,0.000703
32,5399.16,1.28911,0.8699,0.90722,0.53071,0.41168,0.41133,0.24132,1.30293,0.92459,0.91427,0.0006931,0.0006931,0.0006931
33,5553.84,1.28196,0.86213,0.90644,0.53541,0.40794,0.40517,0.23967,1.2997,0.92812,0.91456,0.0006832,0.0006832,0.0006832
34,5708.12,1.28195,0.85613,0.90623,0.53689,0.40803,0.40902,0.24203,1.30206,0.92403,0.91336,0.0006733,0.0006733,0.0006733
35,5861.83,1.27688,0.84939,0.90483,0.53188,0.41323,0.40855,0.24049,1.30148,0.92043,0.91439,0.0006634,0.0006634,0.0006634
36,6016.16,1.27594,0.84726,0.90506,0.5242,0.42022,0.40953,0.24059,1.30611,0.92756,0.91428,0.0006535,0.0006535,0.0006535
37,6170.28,1.27535,0.84736,0.90416,0.53102,0.414,0.40716,0.24063,1.29225,0.91635,0.91166,0.0006436,0.0006436,0.0006436
38,6325.64,1.27377,0.84319,0.90333,0.53705,0.414,0.41241,0.24412,1.29007,0.91561,0.91115,0.0006337,0.0006337,0.0006337
39,6479.76,1.26705,0.83479,0.90116,0.54453,0.41336,0.41531,0.24386,1.2922,0.91497,0.91114,0.0006238,0.0006238,0.0006238
40,6634.25,1.26949,0.83524,0.90106,0.54471,0.40949,0.41204,0.24425,1.29217,0.91121,0.91134,0.0006139,0.0006139,0.0006139
41,6787.15,1.26561,0.83008,0.90197,0.53525,0.41837,0.41945,0.24805,1.28981,0.91059,0.91045,0.000604,0.000604,0.000604
42,6941.37,1.25931,0.82318,0.89861,0.53085,0.42138,0.41807,0.24901,1.29017,0.91004,0.9105,0.0005941,0.0005941,0.0005941
43,7097.19,1.25716,0.82188,0.89938,0.55409,0.41469,0.42085,0.2491,1.28665,0.90475,0.91108,0.0005842,0.0005842,0.0005842
44,7251.99,1.25749,0.81628,0.89957,0.54602,0.41924,0.41918,0.24854,1.28803,0.90491,0.91093,0.0005743,0.0005743,0.0005743
45,7405.24,1.25792,0.81555,0.89871,0.55215,0.41748,0.41792,0.2481,1.29062,0.90906,0.91096,0.0005644,0.0005644,0.0005644
46,7558.4,1.25096,0.81063,0.89677,0.53501,0.42783,0.41951,0.24928,1.28316,0.90924,0.90944,0.0005545,0.0005545,0.0005545
